epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,31274.9,1.33348,1.12091,1.53923,0.82719,0.88879,0.92187,0.73443,1.14105,0.837,1.52118,0.00058336,0.00058336,0.00058336
170,31444.9,1.32623,1.08131,1.51173,0.84467,0.87708,0.92266,0.73267,1.12778,0.83017,1.51255,0.00058088,0.00058088,0.00058088
171,31614.9,1.32941,1.09566,1.51808,0.84056,0.87663,0.92423,0.73,1.12165,0.81762,1.50577,0.0005784,0.0005784,0.0005784
172,31784.8,1.33017,1.08814,1.50698,0.82324,0.88516,0.92399,0.73126,1.11199,0.80768,1.48931,0.00057592,0.00057592,0.00057592
173,31954.7,1.33502,1.0944,1.52571,0.83869,0.87321,0.92299,0.72975,1.12114,0.80128,1.48356,0.00057344,0.00057344,0.00057344
174,32124.7,1.3361,1.10865,1.52552,0.86039,0.86742,0.9191,0.72584,1.12832,0.80418,1.48452,0.00057096,0.00057096,0.00057096
175,32294.6,1.3158,1.08372,1.50918,0.8464,0.88243,0.92065,0.72364,1.12509,0.80524,1.48382,0.00056848,0.00056848,0.00056848
176,32464.5,1.29983,1.07212,1.49683,0.84329,0.87228,0.92058,0.72776,1.11245,0.79877,1.47741,0.000566,0.000566,0.000566
177,32634.5,1.32142,1.09203,1.51007,0.83905,0.87372,0.91942,0.72791,1.11131,0.80068,1.47598,0.00056352,0.00056352,0.00056352
178,32804.4,1.3277,1.08512,1.52729,0.83287,0.87485,0.91986,0.72453,1.10903,0.80104,1.47435,0.00056104,0.00056104,0.00056104
